,Zahl,Dozen,Black/Red,Even/Odd,High/Low,Column
0,7,Dozen 1,Red,Odd,Low,Column 1
1,18,Dozen 2,Red,Even,Low,Column 3
2,34,Dozen 3,Red,Even,High,Column 1
3,9,Dozen 1,Red,Odd,Low,Column 3
4,25,Dozen 3,Red,Odd,High,Column 1
5,35,Dozen 3,Black,Odd,High,Column 2
6,25,Dozen 3,Red,Odd,High,Column 1
7,35,Dozen 3,Black,Odd,High,Column 2
8,15,Dozen 2,Black,Odd,Low,Column 3
9,24,Dozen 2,Black,Even,High,Column 3
10,10,Dozen 1,Black,Even,Low,Column 1
11,25,Dozen 3,Red,Odd,High,Column 1
12,4,Dozen 1,Black,Even,Low,Column 1
13,21,Dozen 2,Red,Odd,High,Column 3
14,29,Dozen 3,Black,Odd,High,Column 2
15,0,0,0,0,0,0
16,26,Dozen 3,Black,Even,High,Column 2
17,30,Dozen 3,Red,Even,High,Column 3
18,26,Dozen 3,Black,Even,High,Column 2
19,29,Dozen 3,Black,Odd,High,Column 2
20,18,Dozen 2,Red,Even,Low,Column 3
21,35,Dozen 3,Black,Odd,High,Column 2
22,29,Dozen 3,Black,Odd,High,Column 2
23,28,Dozen 3,Black,Even,High,Column 1
24,10,Dozen 1,Black,Even,Low,Column 1
25,24,Dozen 2,Black,Even,High,Column 3
26,30,Dozen 3,Red,Even,High,Column 3
27,9,Dozen 1,Red,Odd,Low,Column 3
28,19,Dozen 2,Red,Odd,High,Column 1
29,22,Dozen 2,Black,Even,High,Column 1
30,10,Dozen 1,Black,Even,Low,Column 1
31,33,Dozen 3,Black,Odd,High,Column 3
32,4,Dozen 1,Black,Even,Low,Column 1
33,22,Dozen 2,Black,Even,High,Column 1
34,32,Dozen 3,Red,Even,High,Column 2
35,15,Dozen 2,Black,Odd,Low,Column 3
36,22,Dozen 2,Black,Even,High,Column 1
37,26,Dozen 3,Black,Even,High,Column 2
38,13,Dozen 2,Black,Odd,Low,Column 1
39,7,Dozen 1,Red,Odd,Low,Column 1
40,24,Dozen 2,Black,Even,High,Column 3
41,12,Dozen 1,Red,Even,Low,Column 3
42,35,Dozen 3,Black,Odd,High,Column 2
43,1,Dozen 1,Red,Odd,Low,Column 1
44,13,Dozen 2,Black,Odd,Low,Column 1
45,2,Dozen 1,Black,Even,Low,Column 2
46,14,Dozen 2,Red,Even,Low,Column 2
47,16,Dozen 2,Red,Even,Low,Column 1
48,27,Dozen 3,Red,Odd,High,Column 3
49,4,Dozen 1,Black,Even,Low,Column 1
50,11,Dozen 1,Black,Odd,Low,Column 2
51,22,Dozen 2,Black,Even,High,Column 1
52,2,Dozen 1,Black,Even,Low,Column 2
53,19,Dozen 2,Red,Odd,High,Column 1
54,1,Dozen 1,Red,Odd,Low,Column 1
55,9,Dozen 1,Red,Odd,Low,Column 3
56,13,Dozen 2,Black,Odd,Low,Column 1
57,13,Dozen 2,Black,Odd,Low,Column 1
58,18,Dozen 2,Red,Even,Low,Column 3
59,25,Dozen 3,Red,Odd,High,Column 1
60,10,Dozen 1,Black,Even,Low,Column 1
61,17,Dozen 2,Black,Odd,Low,Column 2
62,7,Dozen 1,Red,Odd,Low,Column 1
63,2,Dozen 1,Black,Even,Low,Column 2
64,35,Dozen 3,Black,Odd,High,Column 2
65,18,Dozen 2,Red,Even,Low,Column 3
66,31,Dozen 3,Black,Odd,High,Column 1
67,13,Dozen 2,Black,Odd,Low,Column 1
68,21,Dozen 2,Red,Odd,High,Column 3
69,15,Dozen 2,Black,Odd,Low,Column 3
70,21,Dozen 2,Red,Odd,High,Column 3
71,29,Dozen 3,Black,Odd,High,Column 2
72,3,Dozen 1,Red,Odd,Low,Column 3
73,30,Dozen 3,Red,Even,High,Column 3
74,0,0,0,0,0,0
75,29,Dozen 3,Black,Odd,High,Column 2
76,7,Dozen 1,Red,Odd,Low,Column 1
77,26,Dozen 3,Black,Even,High,Column 2
78,0,0,0,0,0,0
79,22,Dozen 2,Black,Even,High,Column 1
80,18,Dozen 2,Red,Even,Low,Column 3
81,30,Dozen 3,Red,Even,High,Column 3
82,22,Dozen 2,Black,Even,High,Column 1
83,7,Dozen 1,Red,Odd,Low,Column 1
84,20,Dozen 2,Black,Even,High,Column 2
85,20,Dozen 2,Black,Even,High,Column 2
86,28,Dozen 3,Black,Even,High,Column 1
87,11,Dozen 1,Black,Odd,Low,Column 2
88,0,0,0,0,0,0
89,24,Dozen 2,Black,Even,High,Column 3
90,36,Dozen 3,Red,Even,High,Column 3
91,13,Dozen 2,Black,Odd,Low,Column 1
92,12,Dozen 1,Red,Even,Low,Column 3
93,4,Dozen 1,Black,Even,Low,Column 1
94,17,Dozen 2,Black,Odd,Low,Column 2
95,19,Dozen 2,Red,Odd,High,Column 1
96,5,Dozen 1,Red,Odd,Low,Column 2
97,24,Dozen 2,Black,Even,High,Column 3
98,25,Dozen 3,Red,Odd,High,Column 1
99,2,Dozen 1,Black,Even,Low,Column 2
100,14,Dozen 2,Red,Even,Low,Column 2
101,33,Dozen 3,Black,Odd,High,Column 3
102,27,Dozen 3,Red,Odd,High,Column 3
103,22,Dozen 2,Black,Even,High,Column 1
104,33,Dozen 3,Black,Odd,High,Column 3
105,28,Dozen 3,Black,Even,High,Column 1
106,6,Dozen 1,Black,Even,Low,Column 3
107,4,Dozen 1,Black,Even,Low,Column 1
108,20,Dozen 2,Black,Even,High,Column 2
109,13,Dozen 2,Black,Odd,Low,Column 1
110,3,Dozen 1,Red,Odd,Low,Column 3
111,24,Dozen 2,Black,Even,High,Column 3
112,14,Dozen 2,Red,Even,Low,Column 2
113,8,Dozen 1,Black,Even,Low,Column 2
114,10,Dozen 1,Black,Even,Low,Column 1
115,9,Dozen 1,Red,Odd,Low,Column 3
116,26,Dozen 3,Black,Even,High,Column 2
117,19,Dozen 2,Red,Odd,High,Column 1
118,29,Dozen 3,Black,Odd,High,Column 2
119,8,Dozen 1,Black,Even,Low,Column 2
120,8,Dozen 1,Black,Even,Low,Column 2
121,2,Dozen 1,Black,Even,Low,Column 2
122,30,Dozen 3,Red,Even,High,Column 3
123,9,Dozen 1,Red,Odd,Low,Column 3
124,12,Dozen 1,Red,Even,Low,Column 3
125,22,Dozen 2,Black,Even,High,Column 1
126,10,Dozen 1,Black,Even,Low,Column 1
127,36,Dozen 3,Red,Even,High,Column 3
128,16,Dozen 2,Red,Even,Low,Column 1
129,8,Dozen 1,Black,Even,Low,Column 2
130,26,Dozen 3,Black,Even,High,Column 2
131,2,Dozen 1,Black,Even,Low,Column 2
132,22,Dozen 2,Black,Even,High,Column 1
133,28,Dozen 3,Black,Even,High,Column 1
134,3,Dozen 1,Red,Odd,Low,Column 3
135,21,Dozen 2,Red,Odd,High,Column 3
136,8,Dozen 1,Black,Even,Low,Column 2
137,16,Dozen 2,Red,Even,Low,Column 1
138,29,Dozen 3,Black,Odd,High,Column 2
139,15,Dozen 2,Black,Odd,Low,Column 3
140,27,Dozen 3,Red,Odd,High,Column 3
141,24,Dozen 2,Black,Even,High,Column 3
142,15,Dozen 2,Black,Odd,Low,Column 3
143,24,Dozen 2,Black,Even,High,Column 3
144,27,Dozen 3,Red,Odd,High,Column 3
145,27,Dozen 3,Red,Odd,High,Column 3
146,22,Dozen 2,Black,Even,High,Column 1
147,21,Dozen 2,Red,Odd,High,Column 3
148,15,Dozen 2,Black,Odd,Low,Column 3
149,8,Dozen 1,Black,Even,Low,Column 2
150,8,Dozen 1,Black,Even,Low,Column 2
151,27,Dozen 3,Red,Odd,High,Column 3
152,5,Dozen 1,Red,Odd,Low,Column 2
153,31,Dozen 3,Black,Odd,High,Column 1
154,31,Dozen 3,Black,Odd,High,Column 1
155,28,Dozen 3,Black,Even,High,Column 1
156,4,Dozen 1,Black,Even,Low,Column 1
157,34,Dozen 3,Red,Even,High,Column 1
158,13,Dozen 2,Black,Odd,Low,Column 1
159,35,Dozen 3,Black,Odd,High,Column 2
160,23,Dozen 2,Red,Odd,High,Column 2
